date,year,quarter,month,month_name,week,day,day_of_week,day_name,is_weekend,is_production_day
2023-01-01,2023,1,1,January,52,1,6,Sunday,True,False
2023-01-02,2023,1,1,January,1,2,0,Monday,False,True
2023-01-03,2023,1,1,January,1,3,1,Tuesday,False,True
2023-01-04,2023,1,1,January,1,4,2,Wednesday,False,True
2023-01-05,2023,1,1,January,1,5,3,Thursday,False,True
2023-01-06,2023,1,1,January,1,6,4,Friday,False,True
2023-01-07,2023,1,1,January,1,7,5,Saturday,True,True
2023-01-08,2023,1,1,January,1,8,6,Sunday,True,False
2023-01-09,2023,1,1,January,2,9,0,Monday,False,True
2023-01-10,2023,1,1,January,2,10,1,Tuesday,False,True
2023-01-11,2023,1,1,January,2,11,2,Wednesday,False,True
2023-01-12,2023,1,1,January,2,12,3,Thursday,False,True
2023-01-13,2023,1,1,January,2,13,4,Friday,False,True
2023-01-14,2023,1,1,January,2,14,5,Saturday,True,True
2023-01-15,2023,1,1,January,2,15,6,Sunday,True,False
2023-01-16,2023,1,1,January,3,16,0,Monday,False,True
2023-01-17,2023,1,1,January,3,17,1,Tuesday,False,True
2023-01-18,2023,1,1,January,3,18,2,Wednesday,False,True
2023-01-19,2023,1,1,January,3,19,3,Thursday,False,True
2023-01-20,2023,1,1,January,3,20,4,Friday,False,True
2023-01-21,2023,1,1,January,3,21,5,Saturday,True,True
2023-01-22,2023,1,1,January,3,22,6,Sunday,True,False
2023-01-23,2023,1,1,January,4,23,0,Monday,False,True
2023-01-24,2023,1,1,January,4,24,1,Tuesday,False,True
2023-01-25,2023,1,1,January,4,25,2,Wednesday,False,True
2023-01-26,2023,1,1,January,4,26,3,Thursday,False,True
2023-01-27,2023,1,1,January,4,27,4,Friday,False,True
2023-01-28,2023,1,1,January,4,28,5,Saturday,True,True
2023-01-29,2023,1,1,January,4,29,6,Sunday,True,False
2023-01-30,2023,1,1,January,5,30,0,Monday,False,True
2023-01-31,2023,1,1,January,5,31,1,Tuesday,False,True
2023-02-01,2023,1,2,February,5,1,2,Wednesday,False,True
2023-02-02,2023,1,2,February,5,2,3,Thursday,False,True
2023-02-03,2023,1,2,February,5,3,4,Friday,False,True
2023-02-04,2023,1,2,February,5,4,5,Saturday,True,True
2023-02-05,2023,1,2,February,5,5,6,Sunday,True,False
2023-02-06,2023,1,2,February,6,6,0,Monday,False,True
2023-02-07,2023,1,2,February,6,7,1,Tuesday,False,True
2023-02-08,2023,1,2,February,6,8,2,Wednesday,False,True
2023-02-09,2023,1,2,February,6,9,3,Thursday,False,True
2023-02-10,2023,1,2,February,6,10,4,Friday,False,True
2023-02-11,2023,1,2,February,6,11,5,Saturday,True,True
2023-02-12,2023,1,2,February,6,12,6,Sunday,True,False
2023-02-13,2023,1,2,February,7,13,0,Monday,False,True
2023-02-14,2023,1,2,February,7,14,1,Tuesday,False,True
2023-02-15,2023,1,2,February,7,15,2,Wednesday,False,True
2023-02-16,2023,1,2,February,7,16,3,Thursday,False,True
2023-02-17,2023,1,2,February,7,17,4,Friday,False,True
2023-02-18,2023,1,2,February,7,18,5,Saturday,True,True
2023-02-19,2023,1,2,February,7,19,6,Sunday,True,False
2023-02-20,2023,1,2,February,8,20,0,Monday,False,True
2023-02-21,2023,1,2,February,8,21,1,Tuesday,False,True
2023-02-22,2023,1,2,February,8,22,2,Wednesday,False,True
2023-02-23,2023,1,2,February,8,23,3,Thursday,False,True
2023-02-24,2023,1,2,February,8,24,4,Friday,False,True
2023-02-25,2023,1,2,February,8,25,5,Saturday,True,True
2023-02-26,2023,1,2,February,8,26,6,Sunday,True,False
2023-02-27,2023,1,2,February,9,27,0,Monday,False,True
2023-02-28,2023,1,2,February,9,28,1,Tuesday,False,True
2023-03-01,2023,1,3,March,9,1,2,Wednesday,False,True
2023-03-02,2023,1,3,March,9,2,3,Thursday,False,True
2023-03-03,2023,1,3,March,9,3,4,Friday,False,True
2023-03-04,2023,1,3,March,9,4,5,Saturday,True,True
2023-03-05,2023,1,3,March,9,5,6,Sunday,True,False
2023-03-06,2023,1,3,March,10,6,0,Monday,False,True
2023-03-07,2023,1,3,March,10,7,1,Tuesday,False,True
2023-03-08,2023,1,3,March,10,8,2,Wednesday,False,True
2023-03-09,2023,1,3,March,10,9,3,Thursday,False,True
2023-03-10,2023,1,3,March,10,10,4,Friday,False,True
2023-03-11,2023,1,3,March,10,11,5,Saturday,True,True
2023-03-12,2023,1,3,March,10,12,6,Sunday,True,False
2023-03-13,2023,1,3,March,11,13,0,Monday,False,True
2023-03-14,2023,1,3,March,11,14,1,Tuesday,False,True
2023-03-15,2023,1,3,March,11,15,2,Wednesday,False,True
2023-03-16,2023,1,3,March,11,16,3,Thursday,False,True
2023-03-17,2023,1,3,March,11,17,4,Friday,False,True
2023-03-18,2023,1,3,March,11,18,5,Saturday,True,True
2023-03-19,2023,1,3,March,11,19,6,Sunday,True,False
2023-03-20,2023,1,3,March,12,20,0,Monday,False,True
2023-03-21,2023,1,3,March,12,21,1,Tuesday,False,True
2023-03-22,2023,1,3,March,12,22,2,Wednesday,False,True
2023-03-23,2023,1,3,March,12,23,3,Thursday,False,True
2023-03-24,2023,1,3,March,12,24,4,Friday,False,True
2023-03-25,2023,1,3,March,12,25,5,Saturday,True,True
2023-03-26,2023,1,3,March,12,26,6,Sunday,True,False
2023-03-27,2023,1,3,March,13,27,0,Monday,False,True
2023-03-28,2023,1,3,March,13,28,1,Tuesday,False,True
2023-03-29,2023,1,3,March,13,29,2,Wednesday,False,True
2023-03-30,2023,1,3,March,13,30,3,Thursday,False,True
2023-03-31,2023,1,3,March,13,31,4,Friday,False,True
2023-04-01,2023,2,4,April,13,1,5,Saturday,True,True
2023-04-02,2023,2,4,April,13,2,6,Sunday,True,False
2023-04-03,2023,2,4,April,14,3,0,Monday,False,True
2023-04-04,2023,2,4,April,14,4,1,Tuesday,False,True
2023-04-05,2023,2,4,April,14,5,2,Wednesday,False,True
2023-04-06,2023,2,4,April,14,6,3,Thursday,False,True
2023-04-07,2023,2,4,April,14,7,4,Friday,False,True
2023-04-08,2023,2,4,April,14,8,5,Saturday,True,True
2023-04-09,2023,2,4,April,14,9,6,Sunday,True,False
2023-04-10,2023,2,4,April,15,10,0,Monday,False,True
2023-04-11,2023,2,4,April,15,11,1,Tuesday,False,True
2023-04-12,2023,2,4,April,15,12,2,Wednesday,False,True
2023-04-13,2023,2,4,April,15,13,3,Thursday,False,True
2023-04-14,2023,2,4,April,15,14,4,Friday,False,True
2023-04-15,2023,2,4,April,15,15,5,Saturday,True,True
2023-04-16,2023,2,4,April,15,16,6,Sunday,True,False
2023-04-17,2023,2,4,April,16,17,0,Monday,False,True
2023-04-18,2023,2,4,April,16,18,1,Tuesday,False,True
2023-04-19,2023,2,4,April,16,19,2,Wednesday,False,True
2023-04-20,2023,2,4,April,16,20,3,Thursday,False,True
2023-04-21,2023,2,4,April,16,21,4,Friday,False,True
2023-04-22,2023,2,4,April,16,22,5,Saturday,True,True
2023-04-23,2023,2,4,April,16,23,6,Sunday,True,False
2023-04-24,2023,2,4,April,17,24,0,Monday,False,True
2023-04-25,2023,2,4,April,17,25,1,Tuesday,False,True
2023-04-26,2023,2,4,April,17,26,2,Wednesday,False,True
2023-04-27,2023,2,4,April,17,27,3,Thursday,False,True
2023-04-28,2023,2,4,April,17,28,4,Friday,False,True
2023-04-29,2023,2,4,April,17,29,5,Saturday,True,True
2023-04-30,2023,2,4,April,17,30,6,Sunday,True,False
2023-05-01,2023,2,5,May,18,1,0,Monday,False,True
2023-05-02,2023,2,5,May,18,2,1,Tuesday,False,True
2023-05-03,2023,2,5,May,18,3,2,Wednesday,False,True
2023-05-04,2023,2,5,May,18,4,3,Thursday,False,True
2023-05-05,2023,2,5,May,18,5,4,Friday,False,True
2023-05-06,2023,2,5,May,18,6,5,Saturday,True,True
2023-05-07,2023,2,5,May,18,7,6,Sunday,True,False
2023-05-08,2023,2,5,May,19,8,0,Monday,False,True
2023-05-09,2023,2,5,May,19,9,1,Tuesday,False,True
2023-05-10,2023,2,5,May,19,10,2,Wednesday,False,True
2023-05-11,2023,2,5,May,19,11,3,Thursday,False,True
2023-05-12,2023,2,5,May,19,12,4,Friday,False,True
2023-05-13,2023,2,5,May,19,13,5,Saturday,True,True
2023-05-14,2023,2,5,May,19,14,6,Sunday,True,False
2023-05-15,2023,2,5,May,20,15,0,Monday,False,True
2023-05-16,2023,2,5,May,20,16,1,Tuesday,False,True
2023-05-17,2023,2,5,May,20,17,2,Wednesday,False,True
2023-05-18,2023,2,5,May,20,18,3,Thursday,False,True
2023-05-19,2023,2,5,May,20,19,4,Friday,False,True
2023-05-20,2023,2,5,May,20,20,5,Saturday,True,True
2023-05-21,2023,2,5,May,20,21,6,Sunday,True,False
2023-05-22,2023,2,5,May,21,22,0,Monday,False,True
2023-05-23,2023,2,5,May,21,23,1,Tuesday,False,True
2023-05-24,2023,2,5,May,21,24,2,Wednesday,False,True
2023-05-25,2023,2,5,May,21,25,3,Thursday,False,True
2023-05-26,2023,2,5,May,21,26,4,Friday,False,True
2023-05-27,2023,2,5,May,21,27,5,Saturday,True,True
2023-05-28,2023,2,5,May,21,28,6,Sunday,True,False
2023-05-29,2023,2,5,May,22,29,0,Monday,False,True
2023-05-30,2023,2,5,May,22,30,1,Tuesday,False,True
2023-05-31,2023,2,5,May,22,31,2,Wednesday,False,True
2023-06-01,2023,2,6,June,22,1,3,Thursday,False,True
2023-06-02,2023,2,6,June,22,2,4,Friday,False,True
2023-06-03,2023,2,6,June,22,3,5,Saturday,True,True
2023-06-04,2023,2,6,June,22,4,6,Sunday,True,False
2023-06-05,2023,2,6,June,23,5,0,Monday,False,True
2023-06-06,2023,2,6,June,23,6,1,Tuesday,False,True
2023-06-07,2023,2,6,June,23,7,2,Wednesday,False,True
2023-06-08,2023,2,6,June,23,8,3,Thursday,False,True
2023-06-09,2023,2,6,June,23,9,4,Friday,False,True
2023-06-10,2023,2,6,June,23,10,5,Saturday,True,True
2023-06-11,2023,2,6,June,23,11,6,Sunday,True,False
2023-06-12,2023,2,6,June,24,12,0,Monday,False,True
2023-06-13,2023,2,6,June,24,13,1,Tuesday,False,True
2023-06-14,2023,2,6,June,24,14,2,Wednesday,False,True
2023-06-15,2023,2,6,June,24,15,3,Thursday,False,True
2023-06-16,2023,2,6,June,24,16,4,Friday,False,True
2023-06-17,2023,2,6,June,24,17,5,Saturday,True,True
2023-06-18,2023,2,6,June,24,18,6,Sunday,True,False
2023-06-19,2023,2,6,June,25,19,0,Monday,False,True
2023-06-20,2023,2,6,June,25,20,1,Tuesday,False,True
2023-06-21,2023,2,6,June,25,21,2,Wednesday,False,True
2023-06-22,2023,2,6,June,25,22,3,Thursday,False,True
2023-06-23,2023,2,6,June,25,23,4,Friday,False,True
2023-06-24,2023,2,6,June,25,24,5,Saturday,True,True
2023-06-25,2023,2,6,June,25,25,6,Sunday,True,False
2023-06-26,2023,2,6,June,26,26,0,Monday,False,True
2023-06-27,2023,2,6,June,26,27,1,Tuesday,False,True
2023-06-28,2023,2,6,June,26,28,2,Wednesday,False,True
2023-06-29,2023,2,6,June,26,29,3,Thursday,False,True
2023-06-30,2023,2,6,June,26,30,4,Friday,False,True
2023-07-01,2023,3,7,July,26,1,5,Saturday,True,True
2023-07-02,2023,3,7,July,26,2,6,Sunday,True,False
2023-07-03,2023,3,7,July,27,3,0,Monday,False,True
2023-07-04,2023,3,7,July,27,4,1,Tuesday,False,True
2023-07-05,2023,3,7,July,27,5,2,Wednesday,False,True
2023-07-06,2023,3,7,July,27,6,3,Thursday,False,True
2023-07-07,2023,3,7,July,27,7,4,Friday,False,True
2023-07-08,2023,3,7,July,27,8,5,Saturday,True,True
2023-07-09,2023,3,7,July,27,9,6,Sunday,True,False
2023-07-10,2023,3,7,July,28,10,0,Monday,False,True
2023-07-11,2023,3,7,July,28,11,1,Tuesday,False,True
2023-07-12,2023,3,7,July,28,12,2,Wednesday,False,True
2023-07-13,2023,3,7,July,28,13,3,Thursday,False,True
2023-07-14,2023,3,7,July,28,14,4,Friday,False,True
2023-07-15,2023,3,7,July,28,15,5,Saturday,True,True
2023-07-16,2023,3,7,July,28,16,6,Sunday,True,False
2023-07-17,2023,3,7,July,29,17,0,Monday,False,True
2023-07-18,2023,3,7,July,29,18,1,Tuesday,False,True
2023-07-19,2023,3,7,July,29,19,2,Wednesday,False,True
2023-07-20,2023,3,7,July,29,20,3,Thursday,False,True
2023-07-21,2023,3,7,July,29,21,4,Friday,False,True
2023-07-22,2023,3,7,July,29,22,5,Saturday,True,True
2023-07-23,2023,3,7,July,29,23,6,Sunday,True,False
2023-07-24,2023,3,7,July,30,24,0,Monday,False,True
2023-07-25,2023,3,7,July,30,25,1,Tuesday,False,True
2023-07-26,2023,3,7,July,30,26,2,Wednesday,False,True
2023-07-27,2023,3,7,July,30,27,3,Thursday,False,True
2023-07-28,2023,3,7,July,30,28,4,Friday,False,True
2023-07-29,2023,3,7,July,30,29,5,Saturday,True,True
2023-07-30,2023,3,7,July,30,30,6,Sunday,True,False
2023-07-31,2023,3,7,July,31,31,0,Monday,False,True
2023-08-01,2023,3,8,August,31,1,1,Tuesday,False,True
2023-08-02,2023,3,8,August,31,2,2,Wednesday,False,True
2023-08-03,2023,3,8,August,31,3,3,Thursday,False,True
2023-08-04,2023,3,8,August,31,4,4,Friday,False,True
2023-08-05,2023,3,8,August,31,5,5,Saturday,True,True
2023-08-06,2023,3,8,August,31,6,6,Sunday,True,False
2023-08-07,2023,3,8,August,32,7,0,Monday,False,True
2023-08-08,2023,3,8,August,32,8,1,Tuesday,False,True
2023-08-09,2023,3,8,August,32,9,2,Wednesday,False,True
2023-08-10,2023,3,8,August,32,10,3,Thursday,False,True
2023-08-11,2023,3,8,August,32,11,4,Friday,False,True
2023-08-12,2023,3,8,August,32,12,5,Saturday,True,True
2023-08-13,2023,3,8,August,32,13,6,Sunday,True,False
2023-08-14,2023,3,8,August,33,14,0,Monday,False,True
2023-08-15,2023,3,8,August,33,15,1,Tuesday,False,True
2023-08-16,2023,3,8,August,33,16,2,Wednesday,False,True
2023-08-17,2023,3,8,August,33,17,3,Thursday,False,True
2023-08-18,2023,3,8,August,33,18,4,Friday,False,True
2023-08-19,2023,3,8,August,33,19,5,Saturday,True,True
2023-08-20,2023,3,8,August,33,20,6,Sunday,True,False
2023-08-21,2023,3,8,August,34,21,0,Monday,False,True
2023-08-22,2023,3,8,August,34,22,1,Tuesday,False,True
2023-08-23,2023,3,8,August,34,23,2,Wednesday,False,True
2023-08-24,2023,3,8,August,34,24,3,Thursday,False,True
2023-08-25,2023,3,8,August,34,25,4,Friday,False,True
2023-08-26,2023,3,8,August,34,26,5,Saturday,True,True
2023-08-27,2023,3,8,August,34,27,6,Sunday,True,False
2023-08-28,2023,3,8,August,35,28,0,Monday,False,True
2023-08-29,2023,3,8,August,35,29,1,Tuesday,False,True
2023-08-30,2023,3,8,August,35,30,2,Wednesday,False,True
2023-08-31,2023,3,8,August,35,31,3,Thursday,False,True
2023-09-01,2023,3,9,September,35,1,4,Friday,False,True
2023-09-02,2023,3,9,September,35,2,5,Saturday,True,True
2023-09-03,2023,3,9,September,35,3,6,Sunday,True,False
2023-09-04,2023,3,9,September,36,4,0,Monday,False,True
2023-09-05,2023,3,9,September,36,5,1,Tuesday,False,True
2023-09-06,2023,3,9,September,36,6,2,Wednesday,False,True
2023-09-07,2023,3,9,September,36,7,3,Thursday,False,True
2023-09-08,2023,3,9,September,36,8,4,Friday,False,True
2023-09-09,2023,3,9,September,36,9,5,Saturday,True,True
2023-09-10,2023,3,9,September,36,10,6,Sunday,True,False
2023-09-11,2023,3,9,September,37,11,0,Monday,False,True
2023-09-12,2023,3,9,September,37,12,1,Tuesday,False,True
2023-09-13,2023,3,9,September,37,13,2,Wednesday,False,True
2023-09-14,2023,3,9,September,37,14,3,Thursday,False,True
2023-09-15,2023,3,9,September,37,15,4,Friday,False,True
2023-09-16,2023,3,9,September,37,16,5,Saturday,True,True
2023-09-17,2023,3,9,September,37,17,6,Sunday,True,False
2023-09-18,2023,3,9,September,38,18,0,Monday,False,True
2023-09-19,2023,3,9,September,38,19,1,Tuesday,False,True
2023-09-20,2023,3,9,September,38,20,2,Wednesday,False,True
2023-09-21,2023,3,9,September,38,21,3,Thursday,False,True
2023-09-22,2023,3,9,September,38,22,4,Friday,False,True
2023-09-23,2023,3,9,September,38,23,5,Saturday,True,True
2023-09-24,2023,3,9,September,38,24,6,Sunday,True,False
2023-09-25,2023,3,9,September,39,25,0,Monday,False,True
2023-09-26,2023,3,9,September,39,26,1,Tuesday,False,True
2023-09-27,2023,3,9,September,39,27,2,Wednesday,False,True
2023-09-28,2023,3,9,September,39,28,3,Thursday,False,True
2023-09-29,2023,3,9,September,39,29,4,Friday,False,True
2023-09-30,2023,3,9,September,39,30,5,Saturday,True,True
2023-10-01,2023,4,10,October,39,1,6,Sunday,True,False
